TIME,fenologia_h1,MEANB05_AVG_bk_w-1_d1Y_s30,MINIMUMNDMI_LAST_bk_w-1_d1Y_s30,MINIMUMGCI_LAST_bk_w-1_d1Y_sfen==1-Inf-L,FENOLOGIA_LAST_bk_w-1_s30,avgH_SD_bk_w-1_s7,avgH_MAX_bk_w-1_s15,minT_AVG_bk_w-1_s30,avgT_MIN_bk_w-1_s30,avgT_MAX_bk_w-1_sfen==1-Inf-L,maxH_MAX_bk_w-1_sfen==1-Inf-L
2015-08-24,3,-0.004207,-0.004711,0.013178,3,5.844245,60.78,19.488333,20.77,31.48,86.2
2015-08-31,3,-0.011769,-0.01303,-0.032543,3,7.901676,60.78,19.449667,20.77,31.48,86.2
2015-09-07,3,-0.011769,-0.01303,-0.032543,3,7.089132,69.71,17.970667,17.48,31.48,89.3
2015-09-14,3,-0.005559,0.008051,0.024596,3,8.633315,69.71,17.392667,17.48,31.48,89.4
2015-09-21,3,0.004693,0.000784,-0.010751,3,7.548673,69.71,16.456333,16.96,31.48,93.2
2015-09-28,3,0.002524,0.000784,-0.010751,3,6.824875,68.28,15.762667,16.96,31.48,93.2
2015-10-05,4,0.00083,-0.002148,0.001095,3,10.028657,70.02,15.328667,16.96,31.48,93.2
2015-10-12,4,-0.000865,-0.002148,0.001095,3,7.285194,81.38,14.428,16.65,31.48,93.2
2015-10-19,4,-0.000865,-0.002148,0.001095,4,6.44581,84.45,14.102667,16.61,18.14,92.7
2015-10-26,4,-0.000865,-0.002148,0.001095,4,12.754733,89.82,13.233667,14.48,18.14,93.1
2015-11-02,4,-0.000865,-0.002148,0.001095,4,3.109007,89.82,12.259333,12.88,18.14,93.7
2015-11-09,4,-0.000865,-0.002148,0.001095,4,3.040717,89.82,11.669,12.88,18.14,93.7
2016-03-07,2,-0.018368,0.001248,0.001095,4,9.59726,80.1,4.182308,4.46,18.14,93.7
2016-03-14,2,-0.022347,-0.021304,0.001095,4,7.268553,76.88,3.877,4.46,18.14,93.7
2016-03-21,2,0.01964,-0.021304,0.001095,2,4.851462,77.61,4.638889,4.46,11.84,93.0
2016-03-28,2,0.007287,0.01907,0.023776,2,7.415105,77.61,5.02,5.69,13.58,93.0
2016-04-04,2,0.00111,0.01907,0.023776,2,14.41764,85.54,5.525333,5.69,16.88,93.1
2016-04-11,2,-0.0025,-0.009818,-0.022248,2,12.187228,85.54,6.724333,9.12,16.88,93.1
2016-04-18,2,-0.013743,0.007619,-0.120344,2,5.0522,85.54,7.400667,9.12,17.22,93.1
2016-04-25,2,-0.005847,-0.008486,0.058066,2,12.785503,86.85,8.410667,9.62,17.34,93.1
2016-05-02,2,-0.008951,0.051778,-0.031371,2,13.328352,86.85,9.570333,10.42,18.59,93.1
2016-05-09,2,-0.012722,0.051778,-0.031371,2,22.552063,79.65,10.418,11.3,19.9,93.1
2016-05-16,2,0.001868,0.051778,-0.031371,2,10.942245,86.54,10.408667,11.18,19.9,93.4
2016-05-23,2,-0.011516,0.051778,-0.031371,2,6.14344,86.54,11.088667,11.18,22.71,93.4
2016-05-30,3,0.004734,-0.020296,-0.006789,2,7.188752,70.32,11.314333,11.18,22.71,93.4
2016-06-06,3,0.003702,0.004715,0.005482,2,10.154741,70.32,11.978333,11.18,24.21,93.4
2016-06-13,3,-0.001573,-0.006286,0.005482,3,5.363841,55.81,14.021667,16.04,29.04,65.81
2016-06-20,3,-0.001573,-0.006286,0.005482,3,10.871445,52.34,14.456333,16.04,29.04,77.1
2016-06-27,3,-0.002283,0.000928,0.066692,3,4.331008,52.34,15.338667,16.52,29.04,77.1
2016-07-04,3,-0.000309,-0.001658,-0.010221,3,8.276957,46.2,17.153333,17.21,30.81,77.1
2016-07-11,3,-0.005072,0.007051,-0.021131,3,14.082037,69.33,17.839667,17.21,30.81,93.5
2016-07-18,3,-0.006418,-0.002075,-0.032376,3,8.258293,69.33,18.862667,22.1,30.81,93.5
2016-07-25,3,-0.002459,0.000569,0.02556,3,5.810648,45.4,19.964667,22.1,31.05,93.5
2016-08-01,3,-0.007098,0.009883,-0.007849,3,6.822856,48.42,20.278667,22.1,31.05,93.5
2016-08-08,3,-0.007949,-0.004673,-0.039685,3,4.00356,48.42,20.452,26.46,31.05,93.5
2016-08-15,3,-0.006019,0.020631,-0.075332,3,6.648977,48.46,20.084667,25.83,31.05,93.5
2016-08-22,3,-0.00302,-0.010239,0.020053,3,6.785047,52.19,19.923333,25.83,31.05,93.5
2016-08-29,3,-0.004661,0.01107,0.00176,3,6.551551,52.19,19.734333,25.83,31.05,93.5
2016-09-05,3,-0.004908,0.00424,-0.00056,3,11.064671,52.19,19.565333,25.0,31.95,93.5
2016-09-12,3,-0.002991,-0.000322,0.02797,3,7.364146,48.9,19.565,24.48,32.94,93.5
2016-09-19,3,-0.010302,0.030602,-0.033043,3,13.986426,71.48,18.065333,16.47,32.94,93.5
2016-09-26,3,-0.00979,0.003423,0.008103,3,9.06881,71.48,17.264667,16.47,32.94,93.5
2016-10-03,3,-0.004925,0.001195,0.009724,3,4.845802,57.91,16.120667,16.47,32.94,93.5
2016-10-10,3,-0.008133,0.010351,-0.066826,3,22.386121,89.83,14.023,-9.999,32.94,100.0
2016-10-17,4,-0.012143,0.0002,-0.122986,3,22.386121,89.83,14.043381,-9.999,32.94,100.0
2016-10-24,4,-0.011245,-0.000123,0.085451,3,9.162536,87.5,13.76719,-9.999,32.94,100.0
