TIME,fenologia_h1,MEANB05_AVG_bk_w-1_d1Y_s30,MINIMUMNDMI_LAST_bk_w-1_d1Y_s30,MINIMUMGCI_LAST_bk_w-1_d1Y_sfen==1-Inf-L,FENOLOGIA_LAST_bk_w-1_s30,avgH_SD_bk_w-1_s7,avgH_MAX_bk_w-1_s15,minT_AVG_bk_w-1_s30,avgT_MIN_bk_w-1_s30,avgT_MAX_bk_w-1_sfen==1-Inf-L,maxH_MAX_bk_w-1_sfen==1-Inf-L
2015-08-24,3,-0.001434,-0.006764,0.077444,3,8.803122,72.83,19.490833,18.94,30.43,93.9
2015-08-31,3,-0.011447,-0.011062,-0.063217,3,8.480609,72.83,19.646667,18.94,30.43,93.9
2015-09-07,3,-0.011447,-0.011062,-0.063217,3,8.414372,81.59,18.051,17.93,30.43,93.9
2015-09-14,3,-0.004619,0.006525,0.018073,3,9.457379,81.59,17.255,17.93,30.43,93.9
2015-09-21,3,0.005193,0.00686,-0.006274,3,10.119717,81.59,16.561333,16.24,30.43,95.0
2015-09-28,3,0.001349,0.00686,-0.006274,3,9.055359,72.88,16.084333,16.24,30.43,95.0
2015-10-05,4,-0.002203,-0.00041,0.011899,3,10.365392,68.44,15.926,16.24,30.43,95.0
2015-10-12,4,-0.005755,-0.00041,0.011899,3,7.64808,84.1,15.074,16.24,30.43,95.0
2015-10-19,4,-0.005755,-0.00041,0.011899,4,7.236807,87.37,14.857,15.11,18.35,93.6
2015-10-26,4,-0.005755,-0.00041,0.011899,4,9.727931,87.37,14.195333,15.11,18.35,94.6
2015-11-02,4,-0.005755,-0.00041,0.011899,4,7.445577,86.08,13.264667,11.52,18.35,94.6
2015-11-09,4,-0.005755,-0.00041,0.011899,4,10.497767,84.87,13.054667,11.52,18.35,94.6
2016-02-29,2,0.003315,-0.004939,0.011899,4,6.879193,90.78,6.617333,3.72,18.35,94.6
2016-03-07,2,0.004135,-0.001635,0.011899,4,12.344826,85.98,5.649667,3.72,18.35,94.6
2016-03-14,2,-0.006796,0.002157,0.011899,2,8.530411,75.27,4.571,3.72,11.26,92.7
2016-03-21,2,-0.005805,0.00887,0.011899,2,4.481326,81.34,5.466667,3.72,11.53,95.4
2016-03-28,2,-0.002454,0.009625,0.023897,2,10.101181,82.73,5.630667,5.5,12.8,95.4
2016-04-04,2,0.002783,0.009625,0.023897,2,16.795554,86.86,6.049333,5.93,16.1,95.4
2016-04-11,2,0.000337,-0.002796,-0.023252,2,16.249566,86.86,7.060667,8.32,16.1,95.4
