SPOT_ID,TIME,fenologia_h3,MEANB05_AVG_bk_w-1_d1Y_s30,MINIMUMNDMI_LAST_bk_w-1_d1Y_s30,MINIMUMGCI_LAST_bk_w-1_d1Y_sfen==1-Inf-L,FENOLOGIA_LAST_bk_w-1_s30,avgH_SD_bk_w-1_s7,avgH_MAX_bk_w-1_s15,minT_AVG_bk_w-1_s30,avgT_MIN_bk_w-1_s30,avgT_MAX_bk_w-1_sfen==1-Inf-L,maxH_MAX_bk_w-1_sfen==1-Inf-L
ETParc4,2015-08-31,4,-0.000553,0.004151,-0.015878,3,9.284908,72.8,18.33,20.5,31.5,87.5
ETParc4,2015-09-07,4,-0.000553,0.004151,-0.015878,3,3.901038,72.8,17.14,19.6,31.5,89.5
ETParc4,2015-09-14,4,-0.002551,-0.006591,-0.015878,4,6.141506,75.7,16.566667,19.6,24.1,91.9
ETParc4,2015-09-21,4,-0.002284,0.006772,-0.018297,4,7.678045,75.7,16.3,18.5,24.5,93.1
ETParc4,2015-09-28,4,0.001977,0.006772,-0.018297,4,6.420206,74.7,15.543333,18.5,24.5,93.1
ETParc4,2015-10-05,4,-0.001904,-0.002874,0.005537,4,6.916509,73.6,15.153333,18.5,24.5,93.1
ETParc4,2015-10-12,4,-0.005785,-0.002874,0.005537,4,6.299131,85.4,14.506667,17.0,24.5,93.1
ETParc4,2015-10-19,4,-0.005785,-0.002874,0.005537,4,6.170051,86.1,14.436667,17.0,24.5,93.1
ETParc4,2015-10-26,4,-0.005785,-0.002874,0.005537,4,5.42582,86.1,14.09,17.0,24.5,93.1
ETParc4,2015-11-02,4,-0.005785,-0.002874,0.005537,4,5.820285,85.3,13.7,14.0,24.5,93.1
ETParc4,2015-11-09,4,-0.005785,-0.002874,0.005537,4,45.251146,87.9,13.14,14.0,24.5,100.0
ETParc4,2016-03-07,2,-0.009876,-0.087781,0.005537,4,5.129235,90.3,4.593333,5.7,24.5,100.0
ETParc4,2016-03-14,2,-0.01958,-0.003504,0.005537,4,5.012223,85.0,2.423333,5.7,24.5,100.0
ETParc4,2016-03-21,2,-0.01958,-0.003504,0.005537,1,2.734001,87.3,3.51,7.2,13.1,99.3
ETParc4,2016-03-28,2,-0.002357,0.017047,0.055512,1,4.608119,88.3,3.666667,7.2,14.4,99.4
ETParc4,2016-04-04,2,-0.002357,0.017047,0.055512,2,11.322817,93.4,4.286667,7.2,14.1,98.2
ETParc4,2016-04-11,2,-0.003531,-0.003752,0.055512,2,10.760952,93.4,5.703333,10.4,15.2,98.9
ETParc4,2016-04-18,2,-0.001878,0.011919,-0.005564,2,7.131386,93.4,6.493333,10.4,17.2,98.9
ETParc4,2016-04-25,2,0.001254,-0.018584,0.00664,2,5.521904,89.8,7.436667,11.0,18.0,99.4
ETParc4,2016-05-02,2,0.001462,-0.018584,0.00664,2,27.315075,86.2,8.316667,0.0,19.2,99.4
ETParc4,2016-05-09,2,0.001496,-0.018584,0.00664,2,21.167934,90.8,9.546667,0.0,19.2,99.4
ETParc4,2016-05-16,3,-0.0002,0.000875,0.001163,2,7.439982,90.8,9.71,0.0,19.3,99.4
ETParc4,2016-05-23,3,-0.001897,0.000875,0.001163,2,3.898046,90.8,10.133333,0.0,21.0,99.4
ETParc4,2016-05-30,3,-0.007227,0.001205,-0.020429,2,5.758017,81.1,10.726667,12.8,21.0,99.4
ETParc4,2016-06-06,3,-0.002857,-0.006347,0.016978,2,8.428467,81.1,11.086667,12.8,22.5,99.4
ETParc4,2016-06-13,3,-0.003212,-0.00175,0.016978,3,7.25987,73.4,12.046667,17.1,27.0,94.0
ETParc4,2016-06-20,3,-0.00736,-0.054044,-0.057112,3,7.501333,67.1,12.676667,17.1,27.0,94.0
ETParc4,2016-06-27,3,-0.003136,-0.015752,0.038776,3,9.909375,64.1,13.236667,17.4,27.0,94.0
ETParc4,2016-07-04,3,-0.001875,0.001844,0.017106,3,8.835858,69.9,14.74,18.1,27.8,94.0
ETParc4,2016-07-11,3,-0.003598,0.001844,0.017106,3,11.570899,69.9,16.093333,18.1,29.9,94.0
ETParc4,2016-07-18,3,-0.003901,0.006539,0.03924,3,7.887422,67.7,17.183333,21.4,29.9,94.0
ETParc4,2016-07-25,3,-9.2e-05,-0.002972,0.006459,3,5.601998,52.4,18.486667,21.4,29.9,94.0
ETParc4,2016-08-01,3,-0.006388,0.008667,-0.030674,3,8.620214,58.4,19.136667,24.0,29.9,94.0
ETParc4,2016-08-08,3,-0.006414,-0.006468,-0.013423,3,8.623418,58.4,19.18,25.3,29.9,94.0
ETParc4,2016-08-15,3,-0.004832,0.006423,0.046247,3,5.328674,57.2,19.066667,25.3,29.9,94.0
ETParc4,2016-08-22,3,0.000871,-0.003919,-0.029764,3,1.472769,50.3,18.973333,26.0,29.9,94.0
ETParc4,2016-09-12,4,-0.005531,-0.001387,0.008199,3,9.569893,59.4,18.886667,24.1,32.0,94.0
ETParc4,2016-09-19,4,-0.005531,-0.001387,0.008199,3,13.80069,74.5,17.533333,18.1,32.0,94.0
ETParc4,2016-09-26,4,-0.003862,0.003567,0.026869,4,5.8506,74.5,16.43,18.1,25.2,88.0
ETParc4,2016-10-03,4,-0.000376,0.005303,0.015057,4,5.382909,64.8,15.423333,18.1,25.2,88.0
ETParc4,2016-10-10,4,-0.004345,0.000613,-0.011462,4,5.786108,63.7,14.196667,18.1,25.2,88.0
ETParc4,2016-10-17,4,-0.008588,0.007596,0.024547,4,7.369273,84.1,13.786667,16.2,25.2,96.0
ETParc4,2016-10-24,4,-0.013147,0.007596,0.024547,4,10.028198,91.7,13.98,16.2,25.2,97.5
ETParc4,2016-10-31,4,-0.008113,-0.003527,-0.002138,4,9.238635,91.7,13.366667,16.2,25.2,97.5
ETParc4,2016-11-07,4,-0.014784,-0.003527,-0.002138,4,9.690152,87.0,12.843333,9.8,25.2,97.5
ETParc4,2017-03-13,2,-0.001162,-0.002777,-0.002138,4,7.643485,93.2,7.9,9.4,25.2,97.5
ETParc4,2017-03-20,2,-0.00132,0.002808,-0.002138,4,8.147158,84.0,7.786667,9.4,25.2,97.5
ETParc4,2017-03-27,2,-0.000157,0.002808,-0.002138,1,5.947468,82.2,7.013333,8.1,13.4,97.3
ETParc4,2017-04-03,2,-0.000866,0.00037,-0.002138,1,9.617766,82.2,6.646667,8.1,16.0,99.7
ETParc4,2017-04-10,2,0.001019,0.000956,-0.002138,2,3.09231,82.2,5.936667,8.1,16.9,79.5
ETParc4,2017-04-17,2,0.001,-0.005182,-0.042052,2,10.047009,71.3,6.356667,8.1,20.6,92.6
ETParc4,2017-04-24,3,0.004104,-0.005073,-0.018284,2,7.197189,71.3,7.786667,12.8,21.8,92.6
ETParc4,2017-05-01,3,0.004104,-0.005073,-0.018284,2,7.092451,77.0,9.106667,14.9,21.8,97.8
ETParc4,2017-05-08,3,0.001837,-0.001333,0.004113,2,9.071147,77.0,10.33,14.9,21.8,97.8
ETParc4,2017-05-15,3,-0.008723,0.018139,0.022308,2,13.792734,87.7,11.516667,14.9,21.8,98.3
ETParc4,2017-05-22,3,-0.004124,-0.007607,-0.038555,3,9.531851,87.7,11.95,14.9,24.9,83.0
ETParc4,2017-05-29,3,-0.000924,-0.000205,0.00315,3,11.250037,71.3,12.416667,14.9,24.9,90.3
ETParc4,2017-06-05,3,-0.007354,-0.003653,-0.043849,3,3.261828,71.3,13.346667,16.8,24.9,90.3
ETParc4,2017-06-12,3,0.000783,-0.01035,0.225905,3,6.561613,67.7,13.926667,19.0,26.8,90.3
ETParc4,2017-06-19,3,0.002786,0.005012,-0.068863,3,11.905281,66.0,15.3,19.7,29.5,90.6
ETParc4,2017-06-26,3,-0.001249,-0.001707,-0.066647,3,14.829218,67.7,16.303333,19.7,31.0,94.4
ETParc4,2017-07-03,3,0.011504,0.004451,0.125963,3,13.305566,67.8,15.893333,19.4,31.0,94.4
ETParc4,2017-07-10,3,0.008027,0.004451,0.125963,3,8.997381,73.2,16.286667,19.4,31.0,94.4
ETParc4,2017-07-17,3,-0.004542,-0.008576,-0.027258,3,7.197156,73.2,16.583333,19.4,31.5,94.4
ETParc4,2017-07-24,3,0.011603,-0.002317,0.185278,3,8.943527,64.2,16.203333,19.4,31.5,94.4
ETParc4,2017-07-31,3,0.005456,0.000943,-0.048379,3,5.453876,64.2,16.566667,20.6,31.5,94.4
ETParc4,2017-08-07,4,0.007563,0.009421,-0.215877,3,9.154364,60.0,17.303333,21.0,31.5,94.4
ETParc4,2017-08-14,4,0.013953,-0.002396,0.093824,3,8.199129,60.0,16.97,21.0,31.5,94.4
ETParc4,2017-08-21,4,0.000883,0.005217,-0.152316,3,6.80532,60.0,17.19,22.0,31.5,94.4
ETParc4,2017-08-28,4,-0.000592,0.050451,0.162529,3,10.600921,69.3,17.666667,21.9,31.5,94.4
ETParc4,2017-09-04,4,-0.000551,-0.002974,0.130616,4,7.883406,76.3,17.646667,19.7,26.3,91.6
ETParc4,2017-09-11,4,0.003479,0.003182,0.056683,4,9.055911,76.3,17.256667,19.7,27.2,91.6
ETParc4,2017-09-18,4,0.003272,0.002966,0.026692,4,12.361191,61.1,16.156667,17.4,27.2,91.6
ETParc4,2017-09-25,4,0.004918,0.001963,0.030898,4,4.036382,60.1,14.83,17.4,27.2,91.6
ETParc4,2017-10-02,4,0.002347,0.009841,0.023746,4,9.903991,75.0,14.22,17.4,27.2,94.5
ETParc4,2017-10-09,4,-0.000776,-0.006958,-0.005893,4,2.104643,75.0,13.456667,17.4,27.2,94.5
ETParc4,2017-10-16,4,0.001139,-0.002426,-0.064895,4,5.38901,53.2,13.91,18.7,27.2,94.5
ETParc4,2017-10-23,4,-8e-05,-0.004841,-0.006746,4,13.033272,88.9,14.626667,17.5,27.2,100.0
ETParc4,2017-10-30,4,0.001545,0.010587,-0.111344,4,6.517157,88.9,13.533333,16.9,27.2,100.0
ETParc4,2017-11-06,4,0.000928,0.028113,0.030512,4,9.915716,85.6,12.876667,14.4,27.2,100.0
ETParc4,2017-11-13,4,0.003202,-0.006214,-0.020824,4,7.718315,85.6,10.636667,11.9,27.2,100.0
